PERIOD,CREDIT_M,RETAIL_M,INFLATION,DISC_RATE,GOV_DEBT,GOLD_RES,GOLD_RES_USD,EX_RATE_USD,DEPOSITS,TAX_REVENUE,IMF_FINANCING,DEFICIT_M,BoP,GDP
2014M7,982.049,77646.5,0.4,12.5,837445.6,188886.8975,16070.01,11.754,653 121.2,32123337.14,0,28020.6,-1108.916667,126211
2014M8,1026.739,74384.5,0.8,12.5,945766,206273.816,15928.48,12.95,721 454.3,31358135.48,0,28634.3,-1108.916667,126211
2014M9,991.833,81570.2,2.9,12.5,962064.6,213384.9805,16385.24,13.023,703 080.9,31761460.3,1,32894.2,-1108.916667,126211
2014M10,983.79,77477,2.4,12.5,945330.6,163000.7435,12586.93,12.95,675 154.7,32582870.01,0,46158.3,-1108.916667,112077.6667
2014M11,1008.23,82407.1,1.9,14,1037898.5,146481.4438,9966.08,14.698,686 714.6,34477000,0,53127,-1108.916667,112077.6667
2014M12,1020.667,92477.7,3,14,1100564,117640.4813,7533.33,15.616,672 401.5,42127400,0,72030.5,-1108.916667,112077.6667
2015M1,1019.538,65734,3.1,14,1113461.7,101514.0836,6419.66,15.813,660 727.9,25932800,0,2555.4,70.75,100348.6667
2015M2,1332.094,74230.8,5.3,19.5,1613557.2,137707.5888,5625.31,24.48,851 340.9,36550700,0,272,70.75,100348.6667
2015M3,1180.623,79780.6,10.8,30,1524345.1,231860.4595,9969.92,23.256,739 548.4,51885200,1,-13969.7,70.75,100348.6667
2015M4,1102.932,80754,14,30,1417437.5,218709.9248,9630.98,22.709,693 859.7,42084200,0,-18493.4,70.75,111734
2015M5,1042.987,84734.6,2.2,30,1424126.8,207436.8524,9918.09,20.915,680 059.7,42332600,0,-19393.5,70.75,111734
2015M6,1038.977,83533,0.4,30,1438180.1,217929.1421,10263.7,21.233,688 683.0,38459300,0,-12270.6,70.75,111734
2015M7,1046.244,91106.8,-1,30,1469323.5,225737.3602,10375.39,21.757,683 974.4,41897100,0,-15391.9,70.75,136037
2015M8,1034.927,87898.9,-0.8,30,1494891.4,272860.7221,12616.67,21.627,671 757.7,47368500,1,-28309,70.75,136037
2015M9,986.751,87248.3,2.3,22,1521377.8,278246.2397,12773.55,21.783,664 959.2,40793400,0,-32508.9,70.75,136037
2015M10,1015.212,93760.3,-1.3,22,1588217.7,283103.6972,12962.03,21.841,684 346.7,43610100,0,-26791.8,70.75,128643.6667
2015M11,1038.715,89595,2,22,1556083.4,306518.3915,13147.96,23.313,696 827.0,111093400,0,-19969.5,70.75,128643.6667
2015M12,981.627,100401.9,0.7,22,1572180.2,311326.1659,13299.99,23.408,711 138.7,65047600,0,30898.2,70.75,128643.6667
2016M1,1004.999,81529.4,0.9,22,1645619.7,326092.9734,13441.59,24.26,722 940.8,34651100,0,-9023.1,112.1666667,141154.3333
2016M2,1045.122,83187.7,-0.4,22,1740938.7,356028.3735,13489.5,26.393,745 951.6,48791600,0,-9870.2,112.1666667,141154.3333
2016M3,1017.52,90426.2,1,22,1710381,335288.1176,12721.51,26.356,737 217.0,65272900,0,-3869.2,112.1666667,141154.3333
